table,description,rows per study,domain
overall_officials,People responsible for the overall scientific leadership of the protocol including the principal investigator.,many,Protocol
participant_flows,"Recruitment information relevant to the recruitment process & pre-assignment details (ie. significant events in the study that occur after participant enrollment, but prior to assignment of participants).  Information about participant flow that applies to all milestones.",one,Results
pending_results,"Provides information about events related to the submission of study results for quality control (QC) review before the results are publicly posted.  Events reported: submissions, cancellations and returns for modifications.  'Unknown' is specified for cancellations that occurred before 05/08/2018 (when this data began being collected).

When a study passes quality control review: 1) results_first_submitted_date is set to the study's first submission date, 2) results_first_submitted_qc_date is set to the submission date of the version of results that passed QC, 3) the study's pending_results rows are removed, and 4) the results are posted on ClinicalTrials.gov. 

The latest versions of all studies are posted every business day but, there can be unexpected delays.  The results_first_posted_date value will usually  be identified as an 'Estimate' when first posted.  This will switch to 'Actual' (and the date may be adjusted) on the next posting cycle, when the true posting date is known.",many,Results
provided_documents,"The full study protocol and statistical analysis plan must be uploaded as part of results information submission, for studies with a Primary Completion Date on or after January 18, 2017. The protocol and statistical analysis plan may be optionally uploaded before results information submission and updated with new versions, as needed. Informed consent forms may optionally be uploaded at any time. ",many,Results
reported_events,"Summary information about reported adverse events (any untoward or unfavorable medical occurrence to participants, including abnormal physical exams, laboratory findings, symptoms, or diseases), including serious adverse events, other adverse events, and mortality.",many,Results
responsible_parties,"People who have access to and control over the data from the study, have the right to publish study results, and have the ability to meet all of the requirements for the submission of study information. ",many,Protocol
result_agreements,"Info about whether an agreement exists between the sponsor & the principal investigators (PIs) that restricts the PIs ability to discuss study results at scientific meetings or other public or private forums, or to publish info concerning the study in scientific or academic journals after the study is completed.",many,Results
result_contacts,Point of contact for scientific information about the clinical study results information. ,many,Results
result_groups,"Consolidated, aggregate list of group titles/descriptions used for reporting summary results information.",many,Results
sponsors,"Name of study sponsors and collaborators. The sponsor is the entity or individual initiating the study. Collaborators are other organizations providing support, including funding, design, implementation, data analysis, and reporting.",many,Protocol
studies,"Basic info about study, including study title, date study registered with ClinicalTrials.gov, date results first posted to ClinicalTrials.gov, dates for study start and completion, phase of study, enrollment status, planned or actual enrollment, number of study arms/groups, etc.",one,Protocol & Results
study_references,Citations to publications related to the study protocol and/or results. Includes PubMed Unique Identifier (PMID) and/or full bibliographic citation. ,many,Protocol
